"ID","class1","class2","class3","class4","class5","class6","class7","class8","class9"
1,0.143851712346077,0.122297771275043,0.0374390445649624,0.231017589569092,0.146801710128784,0.0900161266326904,0.178306967020035,0.0244430098682642,0.0258260816335678
2,0.291951835155487,0.105203486979008,0.0179040338844061,0.226362243294716,0.02019970305264,0.0267669875174761,0.277296453714371,0.016374384984374,0.0179408714175224
3,0.0902407243847847,0.133821099996567,0.0343488976359367,0.10048171132803,0.047111339867115,0.0519279353320599,0.496242552995682,0.0230939760804176,0.0227317698299885
4,0.217924118041992,0.0661798715591431,0.0196963213384151,0.231059893965721,0.0442331843078136,0.0485150553286076,0.342298924922943,0.0146648818627,0.0154277272522449
5,0.0145798660814762,0.0730048418045044,0.0164547059684992,0.0240223091095686,0.0145296528935432,0.0186348930001259,0.788681626319885,0.0439099632203579,0.00618216767907143
6,0.27357017993927,0.0448317006230354,0.0192111898213625,0.508362531661987,0.0272276513278484,0.032956950366497,0.0602364987134933,0.015600711107254,0.0180025529116392
7,0.0074446857906878,0.0275216661393642,0.00594260822981596,0.00819582212716341,0.0201633553951979,0.0138993412256241,0.898819625377655,0.0125627815723419,0.00545008247718215
8,0.311183214187622,0.0839419215917587,0.0205926299095154,0.486170142889023,0.0215362031012774,0.0308113917708397,0.0213990453630686,0.0116440271958709,0.0127214202657342
9,0.0926612764596939,0.0105503099039197,0.00838682614266872,0.83845317363739,0.0109117161482573,0.013811512850225,0.0119600631296635,0.00625024409964681,0.00701492046937346
10,0.00824666488915682,0.00898643676191568,0.197707399725914,0.00863828975707293,0.00855953246355057,0.00653026858344674,0.749874532222748,0.005917152389884,0.00553969433531165
11,0.268978953361511,0.0897008031606674,0.0188187584280968,0.180454611778259,0.0260861776769161,0.0303899291902781,0.352336764335632,0.0171498134732246,0.0160841606557369
12,0.00479861628264189,0.949372529983521,0.00324774696491659,0.00611472083255649,0.00527559407055378,0.00570284947752953,0.0201293863356113,0.00256081949919462,0.00279776705428958
13,0.590188026428223,0.0191899351775646,0.0224894359707832,0.141552925109863,0.101272538304329,0.0599382370710373,0.0295922420918941,0.0203465651720762,0.0154300834983587
14,0.00680824881419539,0.114114247262478,0.00639627641066909,0.00720409955829382,0.0121655585244298,0.00821548793464899,0.827899992465973,0.0114028239622712,0.0057932292111218
15,0.0285386648029089,0.397678166627884,0.0227529965341091,0.0400200001895428,0.0546792186796665,0.0469695180654526,0.353637963533401,0.0375301502645016,0.0181933213025331
16,0.633044242858887,0.0639161467552185,0.0342849045991898,0.0546447597444057,0.0555513314902782,0.0245956238359213,0.084764190018177,0.0377977788448334,0.0114009864628315
17,0.0416322872042656,0.199843600392342,0.0242685936391354,0.0300805363804102,0.0399046689271927,0.0288509298115969,0.599311590194702,0.0194066688418388,0.0167011525481939
18,0.0410532988607883,0.237957417964935,0.0281139276921749,0.0829515606164932,0.0423843823373318,0.0397332683205605,0.493174076080322,0.0171000901609659,0.0175319630652666
19,0.00536478124558926,0.0175027810037136,0.00476252008229494,0.00554014462977648,0.0122869657352567,0.00674699014052749,0.939700126647949,0.00403050845488906,0.00406515458598733
20,0.0475003123283386,0.474682748317719,0.0246352013200521,0.0385914333164692,0.0557558946311474,0.12903556227684,0.183514431118965,0.0284766051918268,0.0178078152239323
21,0.0251494012773037,0.112431719899178,0.013472200371325,0.0629807934165001,0.0162840038537979,0.0196621883660555,0.730471730232239,0.0087452195584774,0.0108027160167694
22,0.074324294924736,0.064981497824192,0.0124242976307869,0.0487917698919773,0.0254446025937796,0.016456251963973,0.433228701353073,0.0123292040079832,0.312019407749176
23,0.0476377122104168,0.180568709969521,0.0157742388546467,0.0572023652493954,0.021627027541399,0.0287719145417213,0.61767452955246,0.0142816063016653,0.0164619274437428
24,0.00603342475369573,0.904175281524658,0.00542096048593521,0.006830845028162,0.00999998208135366,0.00543458666652441,0.0527658835053444,0.00382936955429614,0.00550968199968338
25,0.592538058757782,0.126489251852036,0.0229931902140379,0.0791319012641907,0.027615413069725,0.0275791063904762,0.0902547687292099,0.0164573416113853,0.0169409513473511
26,0.0236799009144306,0.101643897593021,0.0158763434737921,0.0281568467617035,0.0265380814671516,0.0261988956481218,0.752441644668579,0.0125645706430078,0.0128998262807727
27,0.0562906563282013,0.0499505437910557,0.0184035412967205,0.101417139172554,0.0270198676735163,0.0197531916201115,0.695728242397308,0.0135476728901267,0.0178891457617283
28,0.136930659413338,0.0584793202579021,0.0180248599499464,0.226417869329453,0.050744716078043,0.0257720556110144,0.44954714179039,0.015996016561985,0.0180873051285744
29,0.0136296590790153,0.0389643833041191,0.00606222916394472,0.0095946304500103,0.00788791384547949,0.00813368242233992,0.905329823493958,0.00515201734378934,0.00524568930268288
30,0.0479338280856609,0.678647577762604,0.0132210431620479,0.0279158744961023,0.0354143679141998,0.0984433963894844,0.0763280168175697,0.0114207612350583,0.0106751173734665
31,0.0969332978129387,0.250805467367172,0.0409519821405411,0.0978657603263855,0.0848657116293907,0.0606991164386272,0.321960359811783,0.0216995812952518,0.0242187157273293
